category,source,freq,ticker,cut,fields,sourceticker,local-close,ldn-close,,
fx,dukascopy,tick,GBPCAD,NYC,"bid,ask,bidv,askv,volume",GBPCAD,5:00pm NYC,,,
fx,dukascopy,tick,GBPCHF,NYC,"bid,ask,bidv,askv,volume",GBPCHF,5:00pm NYC,,,
fx,dukascopy,tick,GBPJPY,NYC,"bid,ask,bidv,askv,volume",GBPJPY,5:00pm NYC,,,
fx,dukascopy,tick,GBPNZD,NYC,"bid,ask,bidv,askv,volume",GBPNZD,5:00pm NYC,,,
fx,dukascopy,tick,NZDCAD,NYC,"bid,ask,bidv,askv,volume",NZDCAD,5:00pm NYC,,,
fx,dukascopy,tick,NZDCHF,NYC,"bid,ask,bidv,askv,volume",NZDCHF,5:00pm NYC,,,
fx,dukascopy,tick,NZDJPY,NYC,"bid,ask,bidv,askv,volume",NZDJPY,5:00pm NYC,,,
fx,dukascopy,tick,SGDJPY,NYC,"bid,ask,bidv,askv,volume",SGDJPY,5:00pm NYC,,,
fx,dukascopy,tick,TRYJPY,NYC,"bid,ask,bidv,askv,volume",TRYJPY,5:00pm NYC,,,
fx,dukascopy,tick,USDCNH,NYC,"bid,ask,bidv,askv,volume",USDCNH,5:00pm NYC,,,
fx,dukascopy,tick,USDDKK,NYC,"bid,ask,bidv,askv,volume",USDDKK,5:00pm NYC,,,
fx,dukascopy,tick,USDHKD,NYC,"bid,ask,bidv,askv,volume",USDHKD,5:00pm NYC,,,
fx,dukascopy,tick,USDMXN,NYC,"bid,ask,bidv,askv,volume",USDMXN,5:00pm NYC,,,
fx,dukascopy,tick,USDPLN,NYC,"bid,ask,bidv,askv,volume",USDPLN,5:00pm NYC,,,
fx,dukascopy,tick,USDRUB,NYC,"bid,ask,bidv,askv,volume",USDRUB,5:00pm NYC,,,
fx,dukascopy,tick,USDSGD,NYC,"bid,ask,bidv,askv,volume",USDSGD,5:00pm NYC,,,
fx,dukascopy,tick,USDTRY,NYC,"bid,ask,bidv,askv,volume",USDTRY,5:00pm NYC,,,
fx,dukascopy,tick,USDZAR,NYC,"bid,ask,bidv,askv,volume",USDZAR,5:00pm NYC,,,
fx,dukascopy,tick,ZARJPY,NYC,"bid,ask,bidv,askv,volume",ZARJPY,5:00pm NYC,,,
fx,fxcm,tick,EURUSD,NYC,"bid,ask",EURUSD,5:00pm NYC,,,
fx,fxcm,tick,GBPUSD,NYC,"bid,ask",GBPUSD,5:00pm NYC,,,
fx,fxcm,tick,AUDUSD,NYC,"bid,ask",AUDUSD,5:00pm NYC,,,
fx,fxcm,tick,NZDUSD,NYC,"bid,ask",NZDUSD,5:00pm NYC,,,
fx,fxcm,tick,USDCAD,NYC,"bid,ask",USDCAD,5:00pm NYC,,,
fx,fxcm,tick,USDCHF,NYC,"bid,ask",USDCHF,5:00pm NYC,,,
fx,fxcm,tick,USDNOK,NYC,"bid,ask",USDNOK,5:00pm NYC,,,
fx,fxcm,tick,USDSEK,NYC,"bid,ask",USDSEK,5:00pm NYC,,,
fx,fxcm,tick,USDJPY,NYC,"bid,ask",USDJPY,5:00pm NYC,,,
fx,bloomberg,daily,EURUSD,BGN,"close,open,high,low",EURUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,GBPUSD,BGN,"close,open,high,low",GBPUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,AUDUSD,BGN,"close,open,high,low",AUDUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,NZDUSD,BGN,"close,open,high,low",NZDUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDUSD,BGN,"close,open,high,low",USD Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCAD,BGN,"close,open,high,low",USDCAD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCHF,BGN,"close,open,high,low",USDCHF BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDNOK,BGN,"close,open,high,low",USDNOK BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDSEK,BGN,"close,open,high,low",USDSEK BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDJPY,BGN,"close,open,high,low",USDJPY BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,DXYUSD,BGN,"close,open,high,low",DXY Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDBRL,BGN,"close,open,high,low",USDBRL BGN Curncy,Local close,,,
fx,bloomberg,daily,USDMXN,BGN,"close,open,high,low",USDMXN BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCLP,BGN,"close,open,high,low",USDCLP BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCOP,BGN,"close,open,high,low",USDCOP BGN Curncy,Local close,,,
fx,bloomberg,daily,USDPLN,BGN,"close,open,high,low",USDPLN BGN Curncy,Local close,,,
fx,bloomberg,daily,USDHUF,BGN,"close,open,high,low",USDHUF BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCZK,BGN,"close,open,high,low",USDCZK BGN Curncy,Local close,,,
fx,bloomberg,daily,USDILS,BGN,"close,open,high,low",USDILS BGN Curncy,Local close,,,
fx,bloomberg,daily,USDRUB,BGN,"close,open,high,low",USDRUB BGN Curncy,Local close,,,
fx,bloomberg,daily,USDZAR,BGN,"close,open,high,low",USDZAR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDTRY,BGN,"close,open,high,low",USDTRY BGN Curncy,Local close,,,
fx,bloomberg,daily,USDKRW,BGN,"close,open,high,low",USDKRW BGN Curncy,Local close,,,
fx,bloomberg,daily,USDTWD,BGN,"close,open,high,low",USDTWD BGN Curncy,Local close,,,
fx,bloomberg,daily,USDMYR,BGN,"close,open,high,low",USDMYR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDINR,BGN,"close,open,high,low",USDINR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDIDR,BGN,"close,open,high,low",USDIDR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDSGD,BGN,"close,open,high,low",USDSGD BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCNY,BGN,"close,open,high,low",USDCNY BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCNH,BGN,"close,open,high,low",USDCNH BGN Curncy,Local close,,,
fx,bloomberg,daily,XBTUSD,BGN,"close,open,high,low",XBTUSD BGN Curncy,Local close,,,
fx,bloomberg,daily,XBTUSD,BSTP,"close,open,high,low",XBTUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,XETUSD,BSTP,"close,open,high,low",XETUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,XLCUSD,BSTP,"close,open,high,low",XLCUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,XRPUSD,BSTP,"close,open,high,low",XRPUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,EURUSD,NYC,"close,open,high,low",EURUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,GBPUSD,NYC,"close,open,high,low",GBPUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,AUDUSD,NYC,"close,open,high,low",AUDUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,NZDUSD,NYC,"close,open,high,low",NZDUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDUSD,NYC,"close,open,high,low",USD Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCAD,NYC,"close,open,high,low",USDCAD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCHF,NYC,"close,open,high,low",USDCHF CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDNOK,NYC,"close,open,high,low",USDNOK CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDSEK,NYC,"close,open,high,low",USDSEK CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDJPY,NYC,"close,open,high,low",USDJPY CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,DXYUSD,NYC,"close,open,high,low",DXY Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDBRL,NYC,"close,open,high,low",USDBRL CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDMXN,NYC,"close,open,high,low",USDMXN CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCLP,NYC,"close,open,high,low",USDCLP CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCOP,NYC,"close,open,high,low",USDCOP CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDPLN,NYC,"close,open,high,low",USDPLN CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDHUF,NYC,"close,open,high,low",USDHUF CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCZK,NYC,"close,open,high,low",USDCZK CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDILS,NYC,"close,open,high,low",USDILS CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDRUB,NYC,"close,open,high,low",USDRUB CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDZAR,NYC,"close,open,high,low",USDZAR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDTRY,NYC,"close,open,high,low",USDTRY CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDKRW,NYC,"close,open,high,low",USDKRW CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDTWD,NYC,"close,open,high,low",USDTWD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDMYR,NYC,"close,open,high,low",USDMYR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDINR,NYC,"close,open,high,low",USDINR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDIDR,NYC,"close,open,high,low",USDIDR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDSGD,NYC,"close,open,high,low",USDSGD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCNY,NYC,"close,open,high,low",USDCNY CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCNH,NYC,"close,open,high,low",USDCNH CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,EURUSD,TOK,"close,open,high,low",EURUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,GBPUSD,TOK,"close,open,high,low",GBPUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,AUDUSD,TOK,"close,open,high,low",AUDUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,NZDUSD,TOK,"close,open,high,low",NZDUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDUSD,TOK,"close,open,high,low",USD Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCAD,TOK,"close,open,high,low",USDCAD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCHF,TOK,"close,open,high,low",USDCHF CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDNOK,TOK,"close,open,high,low",USDNOK CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDSEK,TOK,"close,open,high,low",USDSEK CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDJPY,TOK,"close,open,high,low",USDJPY CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDBRL,TOK,"close,open,high,low",USDBRL CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDMXN,TOK,"close,open,high,low",USDMXN CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCLP,TOK,"close,open,high,low",USDCLP CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCOP,TOK,"close,open,high,low",USDCOP CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDPLN,TOK,"close,open,high,low",USDPLN CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDHUF,TOK,"close,open,high,low",USDHUF CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCZK,TOK,"close,open,high,low",USDCZK CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDILS,TOK,"close,open,high,low",USDILS CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDRUB,TOK,"close,open,high,low",USDRUB CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDZAR,TOK,"close,open,high,low",USDZAR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDTRY,TOK,"close,open,high,low",USDTRY CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDKRW,TOK,"close,open,high,low",USDKRW CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDTWD,TOK,"close,open,high,low",USDTWD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDMYR,TOK,"close,open,high,low",USDMYR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDINR,TOK,"close,open,high,low",USDINR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDIDR,TOK,"close,open,high,low",USDIDR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDSGD,TOK,"close,open,high,low",USDSGD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCNY,TOK,"close,open,high,low",USDCNY CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCNH,TOK,"close,open,high,low",USDCNH CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,EURUSD,LDN,"close,open,high,low",EURUSD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,GBPUSD,LDN,"close,open,high,low",GBPUSD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,AUDUSD,LDN,"close,open,high,low",AUDUSD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,NZDUSD,LDN,"close,open,high,low",NZDUSD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDUSD,LDN,"close,open,high,low",USD Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCAD,LDN,"close,open,high,low",USDCAD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCHF,LDN,"close,open,high,low",USDCHF CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDNOK,LDN,"close,open,high,low",USDNOK CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDSEK,LDN,"close,open,high,low",USDSEK CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDJPY,LDN,"close,open,high,low",USDJPY CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDBRL,LDN,"close,open,high,low",USDBRL CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDMXN,LDN,"close,open,high,low",USDMXN CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCLP,LDN,"close,open,high,low",USDCLP CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCOP,LDN,"close,open,high,low",USDCOP CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDPLN,LDN,"close,open,high,low",USDPLN CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDHUF,LDN,"close,open,high,low",USDHUF CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCZK,LDN,"close,open,high,low",USDCZK CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDILS,LDN,"close,open,high,low",USDILS CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDRUB,LDN,"close,open,high,low",USDRUB CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDZAR,LDN,"close,open,high,low",USDZAR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDTRY,LDN,"close,open,high,low",USDTRY CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDKRW,LDN,"close,open,high,low",USDKRW CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDTWD,LDN,"close,open,high,low",USDTWD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDMYR,LDN,"close,open,high,low",USDMYR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDINR,LDN,"close,open,high,low",USDINR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDIDR,LDN,"close,open,high,low",USDIDR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDSGD,LDN,"close,open,high,low",USDSGD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCNY,LDN,"close,open,high,low",USDCNY CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCNH,LDN,"close,open,high,low",USDCNH CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,EURUSD,10AM,"close,open,high,low",EURUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,GBPUSD,10AM,"close,open,high,low",GBPUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,AUDUSD,10AM,"close,open,high,low",AUDUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,NZDUSD,10AM,"close,open,high,low",NZDUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDUSD,10AM,"close,open,high,low",USD Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCAD,10AM,"close,open,high,low",USDCAD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCHF,10AM,"close,open,high,low",USDCHF F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDNOK,10AM,"close,open,high,low",USDNOK F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDSEK,10AM,"close,open,high,low",USDSEK F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDJPY,10AM,"close,open,high,low",USDJPY F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDBRL,10AM,"close,open,high,low",USDBRL F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDMXN,10AM,"close,open,high,low",USDMXN F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCLP,10AM,"close,open,high,low",USDCLP F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCOP,10AM,"close,open,high,low",USDCOP F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDPLN,10AM,"close,open,high,low",USDPLN F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDHUF,10AM,"close,open,high,low",USDHUF F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCZK,10AM,"close,open,high,low",USDCZK F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDILS,10AM,"close,open,high,low",USDILS F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDRUB,10AM,"close,open,high,low",USDRUB F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDZAR,10AM,"close,open,high,low",USDZAR F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDTRY,10AM,"close,open,high,low",USDTRY F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDKRW,10AM,"close,open,high,low",USDKRW F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDTWD,10AM,"close,open,high,low",USDTWD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDMYR,10AM,"close,open,high,low",USDMYR F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDINR,10AM,"close,open,high,low",USDINR F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDIDR,10AM,"close,open,high,low",USDIDR F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDSGD,10AM,"close,open,high,low",USDSGD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCNY,10AM,"close,open,high,low",USDCNY F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCNH,10AM,"close,open,high,low",USDCNH F100 Curncy,10:00am NYC,,,
fx-tot,bloomberg,daily,EURUSD,NYC,"close,open,high,low",EURUSDCR CMPN Curncy,5:00pm NYC,,,
fx-tot,bloomberg,daily,GBPUSD,NYC,"close,open,high,low",GBPUSDCR CMPN Curncy,5:00pm NYC,,,
fx-tot,bloomberg,daily,AUDUSD,NYC,"close,open,high,low",AUDUSDCR CMPN Curncy,5:00pm NYC,,,
fx-tot,bloomberg,daily,NZDUSD,NYC,"close,open,high,low",NZDUSDCR CMPN Curncy,5:00pm NYC,,,
